segmentnr	original	stemmed
BO_K12_D0686-2_H0689-2:97a-2	zhes so // phyag rgya'i cho ga dang / sgrub thabs kyi cho ga'o ////	zhes so phyag rgya cho ga dang sgrub thabs kyi cho ga 
BO_K12_D0686-2_H0689-2:97a-3	phyag rgya gsum ni rnam sprul pa //	phyag rgya gsum ni rnam sprul ba 
BO_K12_D0686-2_H0689-2:97a-4	phyag rgya de dag yang dag bstan //	phyag rgya de dag yang dag ston 
BO_K12_D0686-2_H0689-2:97a-5	bzang po gtso bo chen po ste //	bzang po gtso bo chen po ste 
BO_K12_D0686-2_H0689-2:97a-6	mchog dang rab mchog nyid yin no //	mchog dang rab mchog nyid yin no 
BO_K12_D0686-2_H0689-2:97a-7	phyag rgya gya nim bla na med /	phyag rgya gyas nim bla na med 
BO_K12_D0686-2_H0689-2:97a-8	'jig rten 'dren pas bstan pa yin //	jig rten bgrang ba ston ba yin 
BO_K12_D0686-2_H0689-2:97a-9	snying po de nyid gyur pa ste //	snying po de nyid gyur ba ste 
BO_K12_D0686-2_H0689-2:97a-10	phyag rgya dkyil chen legs par bsgrubs //	phyag rgya dkyil chen legs ba sgrub 
BO_K12_D0686-2_H0689-2:97a-11	sangs rgyas byang chub phyag rgya 'di //	sangs rgya byang chub phyag rgya di 
BO_K12_D0686-2_H0689-2:97a-12	dus gsum gtogs pa'i de bzhin gshegs //	dus gsum gtogs ba de bzhin gshegs 
BO_K12_D0686-2_H0689-2:97a-13	kun gyis 'di ni byin gyis brlabs //	kun gyis di ni byin gyis brlabs 
BO_K12_D0686-2_H0689-2:97a-14	phyag rgya dus gsum gshegs pa yi //	phyag rgya dus gsum gshegs ba yi 
BO_K12_D0686-2_H0689-2:97a-15	de bzhin gshegs pas phyag rgyar btab //	de bzhin gshegs ba phyag rgyar debs 
BO_K12_D0686-2_H0689-2:97a-16	de bzhin sangs rgyas chen po pa //	de bzhin sangs rgya chen po ba 
BO_K12_D0686-2_H0689-2:97a-17	thub pa snang mdzad kyis kyang btab //	thub ba snang mdzad kyis kyang debs 
BO_K12_D0686-2_H0689-2:97a-18	de bzhin gshegs pa'i rigs dkyil gyi; ;gsang nyid kun tu bzhugs pa yin //	de bzhin gshegs ba rigs dkyil gyi; ;gsang nyid kun tu bzhugs ba yin 
BO_K12_D0686-2_H0689-2:97a-19	de nas gsang sngags gsang ba nyid //	de nas gsang sngags gsang ba nyid 
