segmentnr	original	folio	stemmed
BO_K08_D0056_H0056:112b-9	mi 'jigs pa de dang ldan pas de bzhin gshegs pa 'khor gyi nang du gshegs nas zhes bya ba nas sus kyang 'jig rten du chos dang mthun par zhes bya ba'i bar du'o //	112b	mi jigs ba de dang ldan ba de bzhin gshegs ba khor gyi nang du gshegs nas zhes byed ba nas sus kyang jig rten du chos dang mthun ba zhes byed ba ba du 
BO_K08_D0056_H0056:112b-10	gzhan yang sh'a ri'i bu /	112b	gzhan yang sha ri bu 
BO_K08_D0056_H0056:112b-11	de bzhin gshegs pa bla na med pa'i de bzhin gshegs pa'i ye shes dang ldan pas /	112b	de bzhin gshegs ba bla na med ba de bzhin gshegs ba ye shes dang ldan ba 
BO_K08_D0056_H0056:112b-12	sems can rnams gang la brten pas nges par 'byung bar 'gyur ba 'phags pa'i nges par 'byung ba de byed pa'i sdug bsngal yang dag par zad par 'gyur ba'i lam rab tu mkhyen te /	112b	sems can rnams gang la rten ba nges ba byung ba gyur ba phag ba nges ba byung ba de byed ba sdug sngal yang dag ba zad ba gyur ba lam rab tu mkhyen te 
BO_K08_D0056_H0056:112b-13	de la 'di ni nges par 'byung ba'i lam ma yin no //	112b	de la di ni nges ba byung ba lam ma yin no 
BO_K08_D0056_H0056:112b-14	zhes de bzhin gshegs pa la lha dang bcas pa'i 'jig rten gyis chos dang mthun pas rgol bar byed mi nus so //	112b	zhes de bzhin gshegs ba la lha dang cha ba jig rten gyis chos dang mthun ba rgol ba byed mi nus so 
BO_K08_D0056_H0056:112b-15	nges par 'byung ba'i lam gcig ste gcig gang zhe na /	112b	nges ba byung ba lam gcig ste gcig gang zhe na 
BO_K08_D0056_H0056:113a-0	'di @113a *// lta ste /	113a	di lta ste 
BO_K08_D0056_H0056:113a-1	bgrod pa gcig pu'i lam ste /	113a	bgrod ba gcig pu lam ste 
BO_K08_D0056_H0056:113a-2	gang sems can rnams rnam par dag par 'gyur ba'o //	113a	gang sems can rnams rnam ba dag ba gyur ba 
BO_K08_D0056_H0056:113a-3	nges par 'byung ba'i chos gnyis te /	113a	nges ba byung ba chos gnyis te 
BO_K08_D0056_H0056:113a-4	gnyis gang zhe na /	113a	gnyis gang zhe na 
BO_K08_D0056_H0056:113a-5	'di lta ste /	113a	di lta ste 
BO_K08_D0056_H0056:113a-6	zhi gnas dang / lhag mthong ngo //	113a	zhi gnas dang lhag mthong ngo 
BO_K08_D0056_H0056:113a-7	nges par 'byung ba'i chos gsum ste /	113a	nges ba byung ba chos gsum ste 
BO_K08_D0056_H0056:113a-8	gsum gang zhe na /	113a	gsum gang zhe na 
BO_K08_D0056_H0056:113a-9	'di lta ste /	113a	di lta ste 
BO_K08_D0056_H0056:113a-10	stong pa nyid dang / mtshan ma med pa dang / smon pa med pa'o //	113a	stong ba nyid dang mtshan ma med ba dang smon ba med ba 
BO_K08_D0056_H0056:113a-11	nges par 'byung ba'i chos bzhi ste /	113a	nges ba byung ba chos bzhi ste 
BO_K08_D0056_H0056:113a-12	bzhi gang zhe na /	113a	bzhi gang zhe na 
BO_K08_D0056_H0056:113a-13	'di lta ste /	113a	di lta ste 
BO_K08_D0056_H0056:113a-14	lus su gtogs pa'i dran pa dang / tshor bar gtogs pa'i dran pa dang / sems su gtogs pa'i dran pa dang / chos su gtogs pa'i dran pa ste /	113a	lus su gtogs ba dran ba dang tshor ba gtogs ba dran ba dang sems su gtogs ba dran ba dang chos su gtogs ba dran ba ste 
BO_K08_D0056_H0056:113a-15	'di ni / nges par 'byung ba'i chos bzhi'o //	113a	di ni nges ba byung ba chos bzhi 
BO_K08_D0056_H0056:113a-16	nges par 'byung ba'i chos lnga ste /	113a	nges ba byung ba chos lnga ste 
BO_K08_D0056_H0056:113a-17	lnga gang zhe na /	113a	lnga gang zhe na 
BO_K08_D0056_H0056:113a-18	'di lta ste /	113a	di lta ste 
BO_K08_D0056_H0056:113a-19	dad pa'i dbang po dang / brtson 'grus kyi dbang po dang / dran pa'i dbang po dang / ting nge 'dzin gyi dbang po dang / shes rab kyi dbang po ste /	113a	dad ba dbang po dang brtson grus kyi dbang po dang dran ba dbang po dang ting nge dzin gyi dbang po dang shes rab kyi dbang po ste 
BO_K08_D0056_H0056:113a-20	'di ni / nges par 'byung ba'i chos lnga'o //	113a	di ni nges ba byung ba chos lnga 
BO_K08_D0056_H0056:113a-21	nges par 'byung ba'i chos drug ste /	113a	nges ba byung ba chos drug ste 
BO_K08_D0056_H0056:113a-22	drug gang zhe na /	113a	drug gang zhe na 
BO_K08_D0056_H0056:113a-23	'di lta ste /	113a	di lta ste 
BO_K08_D0056_H0056:113a-24	sangs rgyas rjes su dran pa dang / chos rjes su dran pa dang / dge 'dun rjes su dran pa dang / tshul khrims rjes su dran pa dang / gtong ba rjes su dran pa dang / lha rjes su dran pa ste /	113a	sangs rgya rjes su dran ba dang chos rjes su dran ba dang dge dun rjes su dran ba dang tshul khrims rjes su dran ba dang gtong ba rjes su dran ba dang lha rjes su dran ba ste 
BO_K08_D0056_H0056:113a-25	'di ni / nges par 'byung ba'i chos drug go /	113a	di ni nges ba byung ba chos drug go 
BO_K08_D0056_H0056:113a-26	nges par 'byung ba'i chos bdun te /	113a	nges ba byung ba chos bdun te 
BO_K08_D0056_H0056:113a-27	bdun gang zhe na /	113a	bdun gang zhe na 
BO_K08_D0056_H0056:113a-28	'di lta ste /	113a	di lta ste 
BO_K08_D0056_H0056:113b-0	dran pa yang dag byang chub kyi yan lag dang / chos rnam par 'byed pa yang dag byang chub kyi yan @113b lag dang / brtson 'grus yang dag byang chub kyi yan lag dang / dga' ba yang dag byang chub kyi yan lag dang / shin tu sbyangs pa yang dag byang chub kyi yan lag dang /	113b	dran ba yang dag byang chub kyi yan lag dang chos rnam ba byed ba yang dag byang chub kyi yan lag dang brtson grus yang dag byang chub kyi yan lag dang dga ba yang dag byang chub kyi yan lag dang shin tu sbyong ba yang dag byang chub kyi yan lag dang 
BO_K08_D0056_H0056:113b-1	ting nge 'dzin yang dag byang chub kyi yan lag dang / btang snyoms yang dag byang chub kyi yan lag ste /	113b	ting nge dzin yang dag byang chub kyi yan lag dang gtong snyom yang dag byang chub kyi yan lag ste 
BO_K08_D0056_H0056:113b-2	'di bdun yang gong ma bzhin no //	113b	di bdun yang gong ma bzhin no 
BO_K08_D0056_H0056:113b-3	nges par 'byung ba'i chos brgyad de /	113b	nges ba byung ba chos brgyad de 
BO_K08_D0056_H0056:113b-4	brgyad gang zhe na /	113b	brgyad gang zhe na 
BO_K08_D0056_H0056:113b-5	'di lta ste /	113b	di lta ste 
BO_K08_D0056_H0056:113b-6	'phags pa'i lam yan lag brgyad pa'o //	113b	phag ba lam yan lag brgyad ba 
BO_K08_D0056_H0056:113b-7	'di lta ste /	113b	di lta ste 
